learning_rate,max_depth,min_child_samples,n_estimators,num_leaves,mape,rmse,status
0.1,-1,20,300,31,1.174469143173028,12.536158484928869,ok
0.1,-1,20,300,63,1.1861301089993903,12.546180718897988,ok
0.1,-1,20,300,127,1.204365176959642,12.819878984979667,ok
0.1,-1,20,600,31,1.2002132469493327,12.808105041838148,ok
0.1,-1,20,600,63,1.1904603428146874,12.639231289441717,ok
0.1,-1,20,600,127,1.2044661547954016,12.853919946753797,ok
0.1,-1,20,900,31,1.2101118112136628,12.902773470500671,ok
0.1,-1,20,900,63,1.191809567046241,12.671948340015096,ok
0.1,-1,20,900,127,1.2033710775469155,12.849774619346336,ok
0.1,-1,50,300,31,1.1563540850438223,12.333549736186857,ok
0.1,-1,50,300,63,1.1703790546458803,12.436804060889708,ok
0.1,-1,50,300,127,1.1703790546458803,12.436804060889708,ok
0.1,-1,50,600,31,1.1986001612930623,12.741837687016426,ok
0.1,-1,50,600,63,1.2069251415944287,12.796527507452318,ok
0.1,-1,50,600,127,1.2069251415944287,12.796527507452318,ok
0.1,-1,50,900,31,1.2179823712826614,12.951438599825753,ok
0.1,-1,50,900,63,1.224093139611862,12.962808246719574,ok
0.1,-1,50,900,127,1.224093139611862,12.962808246719574,ok
0.1,8,10,300,31,1.1642812142178998,12.475440645793773,ok
0.1,8,10,300,63,1.2085371264935383,12.785345775919854,ok
0.1,8,10,300,127,1.2154286761350248,12.868140288110906,ok
0.1,8,10,600,31,1.1930784474221123,12.700021889794701,ok
0.1,8,10,600,63,1.2284801247248238,13.016725696555183,ok
0.1,8,10,600,127,1.2355660038500962,13.0588126577016,ok
0.1,8,10,900,31,1.2078489615032297,12.813624825231924,ok
0.1,8,10,900,63,1.2367676097675282,13.090045059859474,ok
0.1,8,10,900,127,1.2420284458379092,13.106386298144871,ok
0.1,8,20,300,31,1.175222761761263,12.519805715814346,ok
0.1,8,20,300,63,1.1675419964702831,12.422149283019458,ok
0.1,8,20,300,127,1.1859314095416247,12.606306119100921,ok
0.1,8,20,600,31,1.1973914070388465,12.790124071219328,ok
0.1,8,20,600,63,1.2046029706110535,12.711703428649558,ok
0.1,8,20,600,127,1.1972877129052104,12.75359128375221,ok
0.1,8,20,900,31,1.2024689828456387,12.885160813929497,ok
0.1,8,20,900,63,1.2094017045766756,12.802512736537377,ok
0.1,8,20,900,127,1.2155329748918027,12.902841888549084,ok
0.1,8,50,300,31,1.1266160587047742,12.056608030949823,ok
0.1,8,50,300,63,1.1312375331084332,12.104000676904155,ok
0.1,8,50,300,127,1.1312375331084332,12.104000676904155,ok
0.1,8,50,600,31,1.1578773524665353,12.397593363485061,ok
0.1,8,50,600,63,1.1632112693681196,12.445497234194875,ok
0.1,8,50,600,127,1.1632112693681196,12.445497234194875,ok
0.1,8,50,900,31,1.176570720571962,12.577941393326187,ok
0.1,8,50,900,63,1.1831381403716015,12.654130121119103,ok
0.1,8,50,900,127,1.1831381403716015,12.654130121119103,ok
0.1,12,10,300,31,1.1690025378940032,12.48022274413374,ok
0.1,12,10,300,63,1.1737773974333257,12.479738853112787,ok
0.1,12,10,300,127,1.2080461655228132,12.783788536714857,ok
0.1,12,10,600,31,1.1895853752833763,12.695541280382823,ok
0.1,12,10,600,63,1.1875551228113632,12.578335404808026,ok
0.1,12,10,600,127,1.2165095746155743,12.865847851001256,ok
0.1,12,10,900,31,1.2007007672084975,12.777322964438858,ok
0.1,12,10,900,63,1.1887263478482613,12.59630848440462,ok
0.1,12,10,900,127,1.2189320969462132,12.878867758471921,ok
0.1,12,20,300,31,1.1668626504688295,12.42065337099172,ok
0.1,12,20,300,63,1.1705508550734705,12.482162430528833,ok
0.1,12,20,300,127,1.1863121250947175,12.635108891796078,ok
0.1,12,20,600,31,1.204500451654184,12.788573106026611,ok
0.1,12,20,600,63,1.1890388656029955,12.63193813010862,ok
0.1,12,20,600,127,1.202877427839359,12.808249151637623,ok
0.1,12,20,900,31,1.221824846455598,12.954066429960847,ok
0.1,12,20,900,63,1.1989196645870337,12.72771666038445,ok
