colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mape,rmse,status
0.8,0.1,5,10,900,0.9,1.187874347953215,12.682827261343522,ok
0.8,0.1,5,10,900,1.0,1.1951382362783127,12.673596774532712,ok
0.8,0.1,7,1,300,0.8,1.2105078470281834,12.874010042090543,ok
0.8,0.1,7,1,300,0.9,1.206286165199903,12.82638593787378,ok
0.8,0.1,7,1,300,1.0,1.2214175404011853,13.01836008318849,ok
0.8,0.1,7,1,600,0.8,1.221644633333118,12.996818659897967,ok
0.8,0.1,7,1,600,0.9,1.2159456635961345,12.93870643492762,ok
0.8,0.1,7,1,600,1.0,1.2426570758019726,13.225422656356209,ok
0.8,0.1,7,1,900,0.8,1.2232753360591042,13.013259868390477,ok
0.8,0.1,7,1,900,0.9,1.2193493567851528,12.973192537579676,ok
0.8,0.1,7,1,900,1.0,1.2466381470897487,13.25587277677185,ok
0.8,0.1,7,5,300,0.8,1.1862877894134438,12.653014675127146,ok
0.8,0.1,7,5,300,0.9,1.1683657274804098,12.542299271328723,ok
0.8,0.1,7,5,300,1.0,1.1776464805375038,12.467384853612543,ok
0.8,0.1,7,5,600,0.8,1.2126509893264965,12.913816240423506,ok
0.8,0.1,7,5,600,0.9,1.1915394206379417,12.792036202127282,ok
0.8,0.1,7,5,600,1.0,1.2066510909286872,12.746284283716053,ok
0.8,0.1,7,5,900,0.8,1.2176854342589627,12.978240550018404,ok
0.8,0.1,7,5,900,0.9,1.19879840236086,12.873857486311596,ok
0.8,0.1,7,5,900,1.0,1.2165906755337719,12.810026039359775,ok
0.8,0.1,7,10,300,0.8,1.1621655579158685,12.337170610336695,ok
0.8,0.1,7,10,300,0.9,1.1596477129280776,12.386805920342717,ok
0.8,0.1,7,10,300,1.0,1.174389436391208,12.36452808839756,ok
0.8,0.1,7,10,600,0.8,1.2064220818073295,12.804476167703642,ok
0.8,0.1,7,10,600,0.9,1.1787500667028306,12.624449322113582,ok
0.8,0.1,7,10,600,1.0,1.2031361546040542,12.636056430265187,ok
0.8,0.1,7,10,900,0.8,1.224389232837083,12.963197834679926,ok
0.8,0.1,7,10,900,0.9,1.1942226131255775,12.74033490109788,ok
0.8,0.1,7,10,900,1.0,1.217359558787468,12.780108221797729,ok
0.9,0.03,3,1,300,0.8,1.0639135746739667,11.435900629407431,ok
0.9,0.03,3,1,300,0.9,1.0726266571903131,11.517490198089607,ok
0.9,0.03,3,1,300,1.0,1.0775139808598566,11.535111409105518,ok
0.9,0.03,3,1,600,0.8,1.070956542952917,11.527086206787493,ok
0.9,0.03,3,1,600,0.9,1.0840320652133197,11.667028209851411,ok
0.9,0.03,3,1,600,1.0,1.0921305546462117,11.745071968275434,ok
0.9,0.03,3,1,900,0.8,1.0848408751080512,11.639400184692935,ok
0.9,0.03,3,1,900,0.9,1.0992880525058832,11.838043939355101,ok
0.9,0.03,3,1,900,1.0,1.1049846613821828,11.907085776191272,ok
0.9,0.03,3,5,300,0.8,1.059654176362724,11.38057665591109,ok
0.9,0.03,3,5,300,0.9,1.063958615150093,11.416499781195608,ok
0.9,0.03,3,5,300,1.0,1.0736620514434523,11.500682081699143,ok
0.9,0.03,3,5,600,0.8,1.0695845711218723,11.510053006859339,ok
0.9,0.03,3,5,600,0.9,1.0736062872701002,11.557240409624677,ok
0.9,0.03,3,5,600,1.0,1.0830535010240632,11.654141912736694,ok
0.9,0.03,3,5,900,0.8,1.0783612430570995,11.602595508118114,ok
0.9,0.03,3,5,900,0.9,1.0820924950224031,11.690602788915927,ok
0.9,0.03,3,5,900,1.0,1.0966764350125515,11.808414230003544,ok
0.9,0.03,3,10,300,0.8,1.0659243940914978,11.420488364178327,ok
0.9,0.03,3,10,300,0.9,1.065669098742815,11.395786172481735,ok
0.9,0.03,3,10,300,1.0,1.0671706587140255,11.443157741722134,ok
0.9,0.03,3,10,600,0.8,1.0738107152596328,11.504209474906233,ok
0.9,0.03,3,10,600,0.9,1.0780606712685947,11.545482149942012,ok
0.9,0.03,3,10,600,1.0,1.082766286513769,11.617938324002616,ok
0.9,0.03,3,10,900,0.8,1.0792054413680021,11.558384263157237,ok
0.9,0.03,3,10,900,0.9,1.0847518646717276,11.637212239074755,ok
0.9,0.03,3,10,900,1.0,1.0996522487581288,11.781550827367258,ok
0.9,0.03,5,1,300,0.8,1.1107530639229748,11.905096924395327,ok
0.9,0.03,5,1,300,0.9,1.1176713065559025,11.98748334157976,ok
0.9,0.03,5,1,300,1.0,1.1145847207732837,11.953479161553021,ok
0.9,0.03,5,1,600,0.8,1.1372704074040876,12.140165710322124,ok
0.9,0.03,5,1,600,0.9,1.1387872373984844,12.164208757011814,ok
0.9,0.03,5,1,600,1.0,1.1548276305481735,12.284475544062905,ok
0.9,0.03,5,1,900,0.8,1.1590087945797123,12.35491779208517,ok
0.9,0.03,5,1,900,0.9,1.1603129018619351,12.347917591616959,ok
0.9,0.03,5,1,900,1.0,1.167475913379459,12.411828215502636,ok
0.9,0.03,5,5,300,0.8,1.0794544586795058,11.580282663701256,ok
0.9,0.03,5,5,300,0.9,1.0924231610633157,11.709034294940212,ok
0.9,0.03,5,5,300,1.0,1.096759455390185,11.720456750366635,ok
0.9,0.03,5,5,600,0.8,1.0941750338745824,11.73491165326172,ok
0.9,0.03,5,5,600,0.9,1.1128778962985448,11.910867545007164,ok
0.9,0.03,5,5,600,1.0,1.1232075716216479,12.030963937313357,ok
0.9,0.03,5,5,900,0.8,1.1118363109635092,11.91652596874067,ok
0.9,0.03,5,5,900,0.9,1.1304303357899403,12.132136132349233,ok
0.9,0.03,5,5,900,1.0,1.1381448643316316,12.193977868202147,ok
0.9,0.03,5,10,300,0.8,1.085387934634407,11.60965832294373,ok
0.9,0.03,5,10,300,0.9,1.075739681915665,11.52883657893051,ok
0.9,0.03,5,10,300,1.0,1.0877132752493346,11.650718612027385,ok
0.9,0.03,5,10,600,0.8,1.1043726852954547,11.801619378518557,ok
0.9,0.03,5,10,600,0.9,1.1004710013856944,11.803140330473731,ok
0.9,0.03,5,10,600,1.0,1.1228669187835894,11.953360757201107,ok
0.9,0.03,5,10,900,0.8,1.112056182594515,11.90706726650273,ok
0.9,0.03,5,10,900,0.9,1.1241243665842013,12.029570790810899,ok
0.9,0.03,5,10,900,1.0,1.1425805470386752,12.165461148604047,ok
0.9,0.03,7,1,300,0.8,1.1521836712836044,12.334278190200676,ok
0.9,0.03,7,1,300,0.9,1.1464553272706288,12.266378160013721,ok
0.9,0.03,7,1,300,1.0,1.1724264515125873,12.49117430020954,ok
0.9,0.03,7,1,600,0.8,1.1743591334472658,12.559287719768385,ok
0.9,0.03,7,1,600,0.9,1.1705075873371662,12.465031362446004,ok
0.9,0.03,7,1,600,1.0,1.2100990568214904,12.788498889643021,ok
0.9,0.03,7,1,900,0.8,1.1992452905807547,12.743482416814283,ok
0.9,0.03,7,1,900,0.9,1.1894227411835263,12.62590721440715,ok
0.9,0.03,7,1,900,1.0,1.223082905131705,12.913335098592123,ok
0.9,0.03,7,5,300,0.8,1.0883983104525385,11.645386805362536,ok
